CodClien final,groups,ticket_prom_mes
1877431,NO_CP,17603.169166666667
1877505,NO_CP,15527.14375
1877511,NO_CP,15453.610909090909
1877553,NO_CP,52547.00555555555
1877584,NO_CP,6433.312222222222
1877608,NO_CP,9917.110833333334
1877632,NO_CP,8742.899000000001
1877659,NO_CP,12758.362727272726
1877785,NO_CP,37341.524
1877952,NO_CP,8338.885
1877967,NO_CP,7678.1759999999995
1878041,NO_CP,7247.95125
1878049,NO_CP,14833.655833333332
1878103,NO_CP,9886.66
1878258,NO_CP,7845.618
1878443,NO_CP,8085.033636363637
1878476,NO_CP,18087.12
1878589,NO_CP,7758.524545454546
1878618,NO_CP,7529.503333333333
1878627,NO_CP,10203.615833333333
1878649,NO_CP,16815.829999999998
1878732,NO_CP,9273.385454545454
1878826,NO_CP,11008.221249999999
1879794,NO_CP,9773.605
1880094,NO_CP,10328.484166666667
1880572,NO_CP,6467.1675
1883469,NO_CP,6297.437272727272
1883497,NO_CP,27672.33909090909
1883571,NO_CP,5996.0858333333335
1883702,NO_CP,8782.676666666666
1883789,NO_CP,13494.3125
1883879,NO_CP,19771.65
1883886,NO_CP,7377.798888888889
1883926,NO_CP,17013.731111111112
1883932,NO_CP,8618.932499999999
1884006,NO_CP,11661.73
1884133,NO_CP,7849.817777777778
1884180,NO_CP,9280.358
1884187,NO_CP,9251.3825
1884188,NO_CP,15842.816666666666
1884221,NO_CP,10857.48625
1884268,NO_CP,54932.86818181819
1884431,NO_CP,10059.853333333333
1884490,NO_CP,9024.49625
1884592,NO_CP,10938.657777777778
1886213,NO_CP,25131.037777777776
1886277,NO_CP,7917.43625
1886868,NO_CP,17031.825454545455
1887298,NO_CP,6927.508
1887656,NO_CP,8135.602000000001
1887805,NO_CP,14959.683333333334
1887938,NO_CP,11718.1225
1887981,NO_CP,17697.841111111113
1888283,NO_CP,14246.859
1888319,NO_CP,37355.8975
1888499,NO_CP,10800.357
1888671,NO_CP,10723.3625
1889197,NO_CP,10864.903333333334
1889945,NO_CP,15518.54125
1889954,NO_CP,8463.52375
1889976,NO_CP,19735.66875
1890039,NO_CP,8020.467
1890181,NO_CP,6429.3125
1890463,NO_CP,6884.58375
1890760,NO_CP,6789.05
1890831,NO_CP,9903.875
1890880,NO_CP,17831.850833333334
1890938,NO_CP,6943.97
1891088,NO_CP,62888.525
1891773,NO_CP,11108.520999999999
1891858,NO_CP,65347.277272727275
1892336,NO_CP,20989.65
1892338,NO_CP,12883.011999999999
1892390,NO_CP,12322.115555555556
1892402,NO_CP,18887.97
1892517,NO_CP,11945.618181818183
1892549,NO_CP,7449.955
1893041,NO_CP,36781.83
1893212,NO_CP,10889.903333333334
1893254,NO_CP,15651.71
1893592,NO_CP,6992.238888888889
1893712,NO_CP,7718.4325
1894007,NO_CP,8287.16625
1894195,NO_CP,29262.705
1894220,NO_CP,8345.2775
1894533,NO_CP,10715.846363636363
1894672,NO_CP,10296.502222222223
1895354,NO_CP,10504.92125
1895355,NO_CP,14414.885454545454
1895560,NO_CP,6406.978
1895765,NO_CP,9056.2625
1896012,NO_CP,10000.989166666666
1896225,NO_CP,10140.1925
1896320,NO_CP,6759.716666666666
1896395,NO_CP,5966.520909090908
1896779,NO_CP,9748.233
1896882,NO_CP,6792.624000000001
1897006,NO_CP,6362.411
1897402,NO_CP,6199.739
1897545,NO_CP,7620.595454545455
1897633,NO_CP,40892.795
1897950,NO_CP,5977.06
1898000,NO_CP,15692.954444444444
1898057,NO_CP,13967.664545454545
1898785,NO_CP,5986.167272727273
1899118,NO_CP,7512.009999999999
1899315,NO_CP,34629.64916666666
1899578,NO_CP,7967.7155555555555
1899668,NO_CP,6367.65625
1899717,NO_CP,75897.79666666666
1899722,NO_CP,50063.519166666665
1899769,NO_CP,10280.168333333333
1899891,NO_CP,29266.7075
1899931,NO_CP,21521.5325
1910079,NO_CP,6254.243636363637
1910463,NO_CP,12358.660833333333
1910475,NO_CP,6019.3925
1910696,NO_CP,18189.989999999998
1911110,NO_CP,14638.861666666666
1911242,NO_CP,72163.12222222221
1911573,NO_CP,45606.586363636365
1911731,NO_CP,15407.988000000001
1911871,NO_CP,7472.60125
1911885,NO_CP,20905.41727272727
1911989,NO_CP,10245.939
1912095,NO_CP,14547.835555555554
